fault_type,severity,seed,baseline_vel,recovery_time_s,post_fault_distance_m,post_fault_steps_survived,fell
actuation_delay,10,61,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,62,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,63,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,64,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,65,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,66,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,67,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,68,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,69,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,70,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,71,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,72,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,73,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,74,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,75,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,76,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,77,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,78,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,79,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,80,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,81,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,82,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,83,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,84,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,85,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,86,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,87,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,88,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,89,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,90,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,91,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,92,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,93,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,94,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,95,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,96,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,97,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,98,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
actuation_delay,10,99,0.5564837480610468,1.8166666666666667,1.2849260830227807,300,False
sensor_dropout,1.0,0,0.5564837480610468,0.016666666666666666,3.026840226496061,300,False
sensor_dropout,1.0,1,0.5564837480610468,0.016666666666666666,2.8849908649320364,300,False
sensor_dropout,1.0,2,0.5564837480610468,0.016666666666666666,3.026840226496061,300,False
sensor_dropout,1.0,3,0.5564837480610468,0.016666666666666666,3.1114349636841827,300,False
sensor_dropout,1.0,4,0.5564837480610468,0.016666666666666666,2.8371192506323664,300,False
sensor_dropout,1.0,5,0.5564837480610468,0.016666666666666666,2.8371192506323664,300,False
sensor_dropout,1.0,6,0.5564837480610468,0.016666666666666666,2.8849908649320364,300,False
sensor_dropout,1.0,7,0.5564837480610468,0.016666666666666666,2.787685390890102,300,False
sensor_dropout,1.0,8,0.5564837480610468,0.016666666666666666,2.8371192506323664,300,False
sensor_dropout,1.0,9,0.5564837480610468,0.016666666666666666,2.8849908649320364,300,False
sensor_dropout,1.0,10,0.5564837480610468,0.016666666666666666,3.1114349636841827,300,False
sensor_dropout,1.0,11,0.5564837480610468,0.016666666666666666,2.37025195176428,300,False
sensor_dropout,1.0,12,0.5564837480610468,0.016666666666666666,3.0091269263757088,300,False
sensor_dropout,1.0,13,0.5564837480610468,0.016666666666666666,3.026840226496061,300,False
sensor_dropout,1.0,14,0.5564837480610468,0.016666666666666666,2.37025195176428,300,False
sensor_dropout,1.0,15,0.5564837480610468,0.016666666666666666,2.787685390890102,300,False
sensor_dropout,1.0,16,0.5564837480610468,0.016666666666666666,2.679370761115344,300,False
sensor_dropout,1.0,17,0.5564837480610468,0.016666666666666666,2.8371192506323664,300,False
sensor_dropout,1.0,18,0.5564837480610468,0.016666666666666666,3.026840226496061,300,False
sensor_dropout,1.0,19,0.5564837480610468,0.016666666666666666,3.0091269263757088,300,False
sensor_dropout,1.0,20,0.5564837480610468,0.016666666666666666,3.026840226496061,300,False
sensor_dropout,1.0,21,0.5564837480610468,0.016666666666666666,2.7653310623749356,300,False
