time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/n_updates,train/learning_rate,train/loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/std,train/clip_fraction,train/clip_range,train/approx_kl
62,507904,121,793.56,4175,384.7216012,4.804931744933128,610,0.0003,2.9062042236328125,0.8533486723899841,-18.11606770157814,-0.03529853723375709,1.0970444679260254,0.19957275390625,0.2,0.015405551
63,516096,122,807.6,4203,394.5797760399999,4.158042362704873,620,0.0003,1.018044352531433,0.8462259769439697,-18.14860190153122,-0.03929995668513584,1.1008926630020142,0.23458251953125,0.2,0.020822365
64,524288,123,817.01,4230,401.4739801799999,4.551186094433069,630,0.0003,2.0056047439575195,0.8798609375953674,-18.183561307191848,-0.03796365632151719,1.1039212942123413,0.19844970703125,0.2,0.016764011
65,532480,125,823.59,4259,405.1620094200001,4.416594377160072,640,0.0003,1.4613282680511475,0.8411996364593506,-18.220368987321855,-0.035369667580380335,1.106858491897583,0.20736083984375,0.2,0.020246582
66,540672,126,790.74,4287,392.57176002000006,6.149887700378895,650,0.0003,2.9930660724639893,0.85174959897995,-18.25503244996071,-0.03483107830179506,1.1108163595199585,0.18485107421875,0.2,0.015186633
67,548864,127,803.78,4315,399.93813645,10.605078335106374,660,0.0003,3.413813829421997,0.8578894734382629,-18.29798569083214,-0.03601260280556744,1.114693284034729,0.1717529296875,0.2,0.01364629
68,557056,128,793.06,4343,396.63858825999995,8.007763974368572,670,0.0003,2.8982858657836914,0.8436996340751648,-18.339380532503128,-0.037808695292915216,1.1182395219802856,0.197998046875,0.2,0.016102701
69,565248,129,752.11,4372,377.31257271000004,5.72283444032073,680,0.0003,3.7481868267059326,0.8548259735107422,-18.379507213830948,-0.03691995547269471,1.1227084398269653,0.24796142578125,0.2,0.02309996
70,573440,130,757.3,4399,380.3449796800001,9.28791309595108,690,0.0003,5.217977046966553,0.87221360206604,-18.41618214249611,-0.0367992773259175,1.1247410774230957,0.1873779296875,0.2,0.015485103
71,581632,131,760.95,4426,385.11070922,4.9600253738462925,700,0.0003,1.4163000583648682,0.8426928520202637,-18.436942821741106,-0.04142613410804188,1.1273998022079468,0.26607666015625,0.2,0.024533693
72,589824,132,765.79,4453,388.03462866999996,6.2896686099469665,710,0.0003,1.4475321769714355,0.8399374485015869,-18.474415791034698,-0.03806538765638834,1.1303279399871826,0.26636962890625,0.2,0.02327773
73,598016,133,765.0,4481,387.3933541199999,6.485557931661606,720,0.0003,2.4789910316467285,0.8329704403877258,-18.49405825138092,-0.037126350587641355,1.1319944858551025,0.24537353515625,0.2,0.01946881
74,606208,134,756.2,4509,384.49860676,5.521976736187935,730,0.0003,2.0185155868530273,0.8255128860473633,-18.52112050652504,-0.040837194572668524,1.1353332996368408,0.266357421875,0.2,0.023867013
75,614400,135,782.52,4536,399.6258639699999,6.212961188703775,740,0.0003,2.1209733486175537,0.7909750938415527,-18.547711306810378,-0.03817963820656587,1.137963891029358,0.27874755859375,0.2,0.024850309
76,622592,136,791.61,4564,405.09697805,3.504613646492362,750,0.0003,1.7757244110107422,0.8664581775665283,-18.594793206453325,-0.040442837087175575,1.142804503440857,0.34205322265625,0.2,0.033890434
77,630784,137,798.49,4591,411.73351218000005,5.726618322730064,760,0.0003,2.2037177085876465,0.8291749954223633,-18.652758663892747,-0.03618695224286057,1.1478675603866577,0.2861083984375,0.2,0.023418233
78,638976,138,787.12,4619,407.5971093600001,5.368751143664122,770,0.0003,1.9651367664337158,0.8625954389572144,-18.67798833847046,-0.03547248803479306,1.1498481035232544,0.2393310546875,0.2,0.020738635
79,647168,139,796.53,4647,413.98306931,6.3676936566829685,780,0.0003,1.928192377090454,0.8824293613433838,-18.708986353874206,-0.03791645284072729,1.1543688774108887,0.230078125,0.2,0.02072822
80,655360,140,799.68,4675,418.04084254,6.664352963864803,790,0.0003,1.4814345836639404,0.8282772302627563,-18.76918443441391,-0.036954209747636926,1.1597371101379395,0.28394775390625,0.2,0.025476981
81,663552,141,802.93,4702,421.6298370800001,5.74556792229414,800,0.0003,2.3148345947265625,0.8849766254425049,-18.803600984811784,-0.03745010522397933,1.1627365350723267,0.2427001953125,0.2,0.02178056
82,671744,142,797.61,4729,421.30515214999997,5.289058241248131,810,0.0003,1.434600830078125,0.827235758304596,-18.843025559186934,-0.037814287657965906,1.1669635772705078,0.28482666015625,0.2,0.026267517
83,679936,142,791.06,4757,419.81422611,7.170676524937153,820,0.0003,3.219804048538208,0.8512159585952759,-18.867129302024843,-0.038114422641228884,1.1681238412857056,0.22454833984375,0.2,0.019222658
84,688128,143,771.33,4784,412.24656831,4.981389816105366,830,0.0003,2.869645118713379,0.8980516791343689,-18.882160264253617,-0.03771608226925309,1.169622778892517,0.24134521484375,0.2,0.021978542
85,696320,144,764.98,4812,412.11851899999994,7.365172553807497,840,0.0003,0.8978526592254639,0.8530899882316589,-18.88761937022209,-0.03595697875571204,1.1694645881652832,0.24453125,0.2,0.022763964
86,704512,145,770.93,4840,417.76729593000005,3.6501247350126507,850,0.0003,2.1915249824523926,0.8846169710159302,-18.895376896858217,-0.04041978399982327,1.1703838109970093,0.305029296875,0.2,0.030977402
87,712704,146,761.94,4873,414.00784831,5.16088332273066,860,0.0003,2.356362819671631,0.8532392382621765,-18.925257521867753,-0.03464586579430033,1.1740790605545044,0.27088623046875,0.2,0.02543222
88,720896,147,772.7,4900,422.66244373,7.4332232311367985,870,0.0003,2.3809006214141846,0.8740934133529663,-18.953314727544786,-0.03680733959263307,1.1769157648086548,0.22630615234375,0.2,0.019403346
89,729088,147,776.93,4928,427.84922707,5.3226041086018085,880,0.0003,1.8121006488800049,0.8725818395614624,-18.976953607797622,-0.041925283144519196,1.179064154624939,0.28775634765625,0.2,0.029262066
90,737280,148,777.95,4954,430.5336483600001,7.851107136905194,890,0.0003,4.861155033111572,0.8105840682983398,-19.014986622333527,-0.037134696405701106,1.1839370727539062,0.27799072265625,0.2,0.024841955
91,745472,149,782.79,4984,437.44697010000004,3.9711289003491403,900,0.0003,0.7605472207069397,0.8200159668922424,-19.04279994368553,-0.042273181196651424,1.1863330602645874,0.335498046875,0.2,0.034253266
92,753664,150,795.34,5013,446.4837891700001,6.346876141428948,910,0.0003,2.767331123352051,0.8669164180755615,-19.06954847574234,-0.034947912965435535,1.1885440349578857,0.2475341796875,0.2,0.019899378
