time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/entropy_loss,train/loss,train/explained_variance,train/clip_range,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/value_loss,train/std
565248,762.33,69,373.88329804,1987,284,-18.46677777171135,0.9118577837944031,0.8041972517967224,0.2,680,-0.03995136306184577,0.029252945,0.0003,0.30687255859375,3.0886364702135323,1.130682110786438
573440,770.19,70,380.92335776000004,2013,284,-18.503630024194717,2.786275863647461,0.8659636974334717,0.2,690,-0.03299136869827635,0.01436648,0.0003,0.16605224609375,7.54020348712802,1.1343179941177368
581632,746.39,71,370.35930736,2039,285,-18.523458659648895,1.1490066051483154,0.8698094487190247,0.2,700,-0.038985104369930926,0.020467302,0.0003,0.23060302734375,4.904542412608862,1.1348135471343994
589824,759.08,72,379.51353854,2065,285,-18.54136755466461,5.40031623840332,0.8614886999130249,0.2,710,-0.03562327205290785,0.013568624,0.0003,0.165234375,11.892708644270897,1.1371636390686035
598016,770.3,73,388.78040207999993,2090,286,-18.552404791116714,1.3909484148025513,0.7747814655303955,0.2,720,-0.039652864853997015,0.0267741,0.0003,0.27752685546875,4.744401807337999,1.1377664804458618
606208,752.03,74,382.2663236800001,2116,286,-18.570529335737227,0.5649120807647705,0.7815208435058594,0.2,730,-0.04495610851226957,0.04018434,0.0003,0.39134521484375,2.7439638383686544,1.1412478685379028
614400,749.93,75,384.0477607900001,2141,286,-18.646568846702575,3.151221990585327,0.8677203059196472,0.2,740,-0.03238240856808261,0.015046733,0.0003,0.1955810546875,5.898685853928328,1.1491512060165405
622592,712.97,76,365.8834203500001,2167,287,-18.705273342132568,2.3045010566711426,0.8700249791145325,0.2,750,-0.03731343479084899,0.019398225,0.0003,0.2127685546875,4.774673794209957,1.1527204513549805
630784,719.96,77,372.8413157,2193,287,-18.704316514730454,4.095788955688477,0.8920013308525085,0.2,760,-0.039200056156551,0.01618046,0.0003,0.1947509765625,7.739466086030006,1.1512877941131592
638976,753.41,78,391.98271002,2222,287,-18.701398336887358,1.3134369850158691,0.7454476356506348,0.2,770,-0.04531078830623301,0.03414664,0.0003,0.34256591796875,2.835125981643796,1.1526473760604858
647168,774.14,79,404.17789611,2248,287,-18.72815420627594,0.519393801689148,0.8376441597938538,0.2,780,-0.04668252175470115,0.041028127,0.0003,0.40047607421875,1.9796270854771136,1.1560837030410767
655360,765.22,80,400.95820714,2275,288,-18.771671628952028,1.0735840797424316,0.6380453109741211,0.2,790,-0.02731170314946212,0.023469446,0.0003,0.258154296875,3.197409450635314,1.1586862802505493
663552,779.72,81,410.47909763999996,2301,288,-18.794021159410477,2.489589214324951,0.8771545886993408,0.2,800,-0.03333793059719028,0.015050462,0.0003,0.17646484375,6.334281988441944,1.1617673635482788
671744,776.52,82,409.86320961999996,2326,288,-18.822066801786423,2.678152084350586,0.8234406113624573,0.2,810,-0.03576080675411504,0.014960567,0.0003,0.16116943359375,7.665717916935682,1.1652612686157227
679936,791.38,83,418.92917968,2351,289,-18.845610988140105,0.8032982349395752,0.830903947353363,0.2,820,-0.03863015925817308,0.028061919,0.0003,0.26201171875,3.2808543000370265,1.1664533615112305
688128,803.17,84,427.6989003799999,2378,289,-18.882140892744065,0.8264816999435425,0.8553625345230103,0.2,830,-0.04212340523699822,0.035957236,0.0003,0.33551025390625,2.5119811918586494,1.170418381690979
696320,825.7,85,442.31652437,2404,289,-18.905851739645005,0.8213794231414795,0.8813682198524475,0.2,840,-0.03535698540945305,0.017628662,0.0003,0.222314453125,4.784500636160374,1.1725176572799683
704512,851.32,86,458.42822486999995,2429,289,-18.93360254764557,1.7241003513336182,0.8756272792816162,0.2,850,-0.03671082693617791,0.021254648,0.0003,0.22989501953125,3.9099540185183286,1.1752206087112427
712704,845.18,87,457.41447936000003,2454,290,-18.93624778985977,2.8135929107666016,0.7848280668258667,0.2,860,-0.0348803831206169,0.024922865,0.0003,0.2843994140625,4.638852186501026,1.1754686832427979
720896,824.32,88,447.18685645000005,2481,290,-18.949243193864824,1.0549805164337158,0.8704502582550049,0.2,870,-0.03847701683553169,0.022605218,0.0003,0.25164794921875,4.094634770974517,1.175956130027771
729088,807.07,89,439.96404629999995,2507,290,-18.95215463042259,3.5167014598846436,0.8871989250183105,0.2,880,-0.035893358442990575,0.015063105,0.0003,0.18453369140625,7.371425651013851,1.1766010522842407
737280,804.67,90,440.61694809,2534,290,-18.956456726789476,2.9633402824401855,0.8678491711616516,0.2,890,-0.03579000077588716,0.01826518,0.0003,0.22928466796875,5.900728472322226,1.1771849393844604
745472,822.41,91,453.20304061999997,2559,291,-18.963387775421143,4.073099613189697,0.8777130842208862,0.2,900,-0.03348284039129794,0.013904883,0.0003,0.17015380859375,10.118719685077668,1.1781855821609497
753664,797.97,92,442.26262015,2572,292,-19.006541228294374,0.739029049873352,0.8587703704833984,0.2,910,-0.043973889712651724,0.05468353,0.0003,0.43358154296875,2.519203868880868,1.1830109357833862
761856,784.97,93,436.79916152,2585,294,-19.041241043806075,3.082707643508911,0.8990148305892944,0.2,920,-0.03296062738299952,0.014364047,0.0003,0.17119140625,7.4725758105516435,1.187436819076538
770048,768.4,94,428.0220452900001,2598,296,-19.082293206453322,5.679672718048096,0.8214725255966187,0.2,930,-0.03410166540706996,0.014901994,0.0003,0.1763916015625,8.76511583328247,1.1902996301651
778240,768.7,95,428.49236439,2610,298,-19.11389154791832,6.7365241050720215,0.8530962467193604,0.2,940,-0.03445792768325191,0.016022764,0.0003,0.1888427734375,9.687112305313349,1.1934281587600708
