rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_fraction,train/policy_gradient_loss,train/loss,train/clip_range,train/std,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/explained_variance,train/approx_kl
771.43,393.72477484,614400,1889,325,75,0.2698486328125,-0.037123340315156385,1.1964191198349,0.2,1.1353381872177124,0.0003,5.393760638684034,740,-18.52873575091362,0.8369982242584229,0.022479001
767.22,391.56972436999996,622592,1903,327,76,0.2155517578125,-0.03776066469290527,1.5355075597763062,0.2,1.1372811794281006,0.0003,5.593481384962797,750,-18.550294530391692,0.9005179405212402,0.019057116
754.26,385.63858668,630784,1916,329,77,0.25029296875,-0.03578912954835687,1.8562449216842651,0.2,1.1364014148712158,0.0003,4.923411685973406,760,-18.56104890704155,0.8784805536270142,0.022550974
753.91,386.08102811000003,638976,1930,330,78,0.27835693359375,-0.03893434007623,1.5198203325271606,0.2,1.1383389234542847,0.0003,4.222242460399866,770,-18.568008571863174,0.8227595090866089,0.02371072
747.43,384.01827057,647168,1944,332,79,0.208740234375,-0.03455198811861919,2.321693181991577,0.2,1.1434136629104614,0.0003,9.240726140886546,780,-18.60774850845337,0.8905643820762634,0.016223788
746.89,384.53183995,655360,1959,334,80,0.21552734375,-0.03657012837284128,2.7427706718444824,0.2,1.1470599174499512,0.0003,7.567434142529964,790,-18.646566903591157,0.8710771203041077,0.019412726
771.84,398.9552542800001,663552,2312,286,81,0.24586181640625,-0.039905016996635824,1.6858835220336914,0.2,1.1515718698501587,0.0003,5.0454433664679526,800,-18.68974193930626,0.8598640561103821,0.023061194
775.5,402.42467138999996,671744,2334,287,82,0.3437744140625,-0.03677558051858796,0.8236794471740723,0.2,1.151662826538086,0.0003,4.138247554749251,810,-18.709752172231674,0.8648337721824646,0.034400478
717.68,372.58671224,679936,2358,288,83,0.4229248046875,-0.040699718564428625,0.5877624750137329,0.2,1.158228874206543,0.0003,2.787243067845702,820,-18.762187176942824,0.8340833187103271,0.04702553
722.64,376.85471934000003,688128,2381,288,84,0.1744140625,-0.03200855743634747,5.077747821807861,0.2,1.162674069404602,0.0003,12.831594935059547,830,-18.801820081472396,0.8882133960723877,0.01241188
