rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,train/clip_fraction,train/approx_kl,train/loss,train/n_updates,train/std,train/clip_range,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss
735.82,1905,515,120,983040,451.3284864,0.8857486844062805,0.20189208984375,0.01659822,3.712439775466919,1190,1.2730679512023926,0.2,0.0003,9.002000278234481,-0.03595731443929253,-19.901421642303468
748.87,1917,516,121,991232,460.55156458,0.8492575287818909,0.21236572265625,0.01734487,6.145516395568848,1200,1.2757376432418823,0.2,0.0003,15.86196118593216,-0.03758871012178133,-19.925477224588395
773.44,1929,517,122,999424,477.04193777,0.8337728381156921,0.25362548828125,0.025647437,2.8188705444335938,1210,1.278412938117981,0.2,0.0003,8.508431167155504,-0.034806668849341804,-19.946129244565963
783.6,1941,518,123,1007616,484.20799565999994,0.8608959913253784,0.3317138671875,0.034538724,3.3052399158477783,1220,1.2825921773910522,0.2,0.0003,4.715434309467673,-0.03545505166330258,-19.992205160856248
747.24,1954,519,124,1015808,460.33020731000005,0.8481935858726501,0.29093017578125,0.027286552,1.5182225704193115,1230,1.281251072883606,0.2,0.0003,6.420893531292677,-0.038247202608908994,-19.994571936130523
761.06,1966,520,125,1024000,468.97168334,0.9048995971679688,0.23892822265625,0.020014405,4.453433990478516,1240,1.285793423652649,0.2,0.0003,10.627947583794594,-0.039444744847423864,-20.0090884745121
784.34,1978,521,126,1032192,484.12549650000005,0.8316289186477661,0.24688720703125,0.021145174,6.503835678100586,1250,1.2865118980407715,0.2,0.0003,9.453288498520852,-0.03904932604636997,-20.03211553096771
806.45,1991,522,127,1040384,498.4001609900001,0.8750768899917603,0.39105224609375,0.042547114,0.8355038166046143,1260,1.2905389070510864,0.2,0.0003,4.691723638400435,-0.038183829328772845,-20.047907012701035
815.32,2003,523,128,1048576,505.31479196999993,0.8395349383354187,0.3833740234375,0.039571404,2.928762912750244,1270,1.2986221313476562,0.2,0.0003,5.308645936101675,-0.03174076899304055,-20.118983733654023
806.25,2016,524,129,1056768,499.17551675000004,0.5819617509841919,0.48895263671875,0.06395791,0.7148468494415283,1280,1.3071608543395996,0.2,0.0003,2.4521136114373805,-0.031600367965438636,-20.198395615816118
