time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/std,train/n_updates,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/learning_rate,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range
884736,5893,108,820.45,480.16107752000005,150,1.2452937364578247,1070,2.5736019611358643,-0.03395225228305208,-19.62201287150383,0.4222412109375,0.0003,4.788884999230504,0.046346802,0.8014232516288757,0.2
892928,5930,109,821.44,481.17342654,150,1.2501776218414307,1080,1.765840768814087,-0.03250471068022307,-19.68294577598572,0.24698486328125,0.0003,4.805056352168322,0.02062703,0.8417469263076782,0.2
901120,5970,110,825.21,483.65057033,150,1.2546671628952026,1090,1.5204365253448486,-0.03214351710630581,-19.71753306388855,0.15650634765625,0.0003,7.5293106906116005,0.014388933,0.87106853723526,0.2
909312,6006,111,804.85,470.86219198000003,151,1.2618786096572876,1100,1.6424365043640137,-0.032800217346448335,-19.775456649065017,0.2655517578125,0.0003,7.386022045463323,0.02875106,0.8003338575363159,0.2
917504,6038,112,797.71,467.49225003999993,151,1.2688241004943848,1110,2.624229669570923,-0.031752466504258336,-19.84641362428665,0.19345703125,0.0003,9.066243240982294,0.014846735,0.8561015129089355,0.2
925696,6100,113,806.88,473.11660037999997,151,1.2737008333206177,1120,1.5495870113372803,-0.037562496570171786,-19.900604808330534,0.2430908203125,0.0003,6.539761950820685,0.021505378,0.8922772407531738,0.2
933888,6134,114,808.18,474.63452648000003,152,1.2812243700027466,1130,2.0117673873901367,-0.03483596536025289,-19.963665026426316,0.255322265625,0.0003,6.715887569636107,0.024569027,0.854488730430603,0.2
942080,6165,115,817.27,480.46493097,152,1.281572699546814,1140,3.142951250076294,-0.03347184679951169,-19.98929935693741,0.20445556640625,0.0003,8.495335726439952,0.017694019,0.8176761865615845,0.2
950272,6196,116,813.48,479.10489093,153,1.2864972352981567,1150,1.9003876447677612,-0.03376780080325261,-20.027050173282625,0.27806396484375,0.0003,8.005088353157044,0.022478858,0.8422593474388123,0.2
958464,6233,117,809.85,477.76822305,153,1.292417287826538,1160,1.2068874835968018,-0.034133741127152464,-20.07403857111931,0.30474853515625,0.0003,5.854184402525425,0.031472538,0.800584077835083,0.2
966656,6266,118,812.85,479.51628116000006,154,1.2955139875411987,1170,1.405532717704773,-0.025945456601766635,-20.10607341527939,0.40576171875,0.0003,6.1303490698337555,0.040935658,0.8100964426994324,0.2
974848,6304,119,809.55,478.56536683999997,154,1.3037699460983276,1180,0.6403361558914185,-0.03352393986278912,-20.170855206251144,0.41966552734375,0.0003,3.772263014689088,0.04224285,0.778400182723999,0.2
983040,6338,120,800.6,474.20186873000006,155,1.3070249557495117,1190,1.731536865234375,-0.033076128749235066,-20.21935908794403,0.2023681640625,0.0003,6.242458564043045,0.016884439,0.8499090671539307,0.2
