time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,train/loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/value_loss,train/entropy_loss,train/learning_rate,train/std
598016,743.08,1458,409,73,374.1491311199999,4.519213676452637,0.2,0.8581870198249817,-0.03058810405564145,720,0.012379125,0.14617919921875,6.432875962555409,-18.526959258317948,0.0003,1.135124683380127
606208,762.61,1471,412,74,386.88027465,1.2062253952026367,0.2,0.8741761445999146,-0.03368185981307761,730,0.01274897,0.1613037109375,5.880702473968268,-18.54311153292656,0.0003,1.1349120140075684
614400,756.85,1484,413,75,387.71450690999995,0.513877809047699,0.2,0.13689905405044556,-0.05269055540265981,740,0.04547602,0.43746337890625,1.5289364606142044,-18.57047128677368,0.0003,1.1391855478286743
622592,748.55,1497,415,76,385.73200047000006,1.4753673076629639,0.2,0.8769119381904602,-0.026910252487869,750,0.011102143,0.16607666015625,5.8472068682312965,-18.598175424337388,0.0003,1.1418768167495728
630784,743.41,1510,417,77,384.63811511000006,2.216158866882324,0.2,0.88542240858078,-0.03027871523445356,760,0.011365797,0.14085693359375,7.620189952850342,-18.62056509256363,0.0003,1.1434649229049683
638976,753.47,1522,419,78,391.7019375800001,2.6263999938964844,0.2,0.8736635446548462,-0.03471255916083464,770,0.013980109,0.16160888671875,5.764152117073536,-18.641678404808044,0.0003,1.1458100080490112
647168,752.15,1535,421,79,392.65427043999995,0.9337379932403564,0.2,0.874868631362915,-0.04030263054155512,780,0.023939881,0.2653076171875,3.0062963400036096,-18.677395522594452,0.0003,1.1488105058670044
655360,747.97,1548,423,80,393.04586453,0.6395411491394043,0.2,0.8550058603286743,-0.03499292314227205,790,0.022094637,0.234912109375,3.561256489157677,-18.70935627222061,0.0003,1.1519120931625366
663552,742.93,1561,424,81,391.43235133,3.0810587406158447,0.2,0.872174084186554,-0.03017683785947156,800,0.010860071,0.13675537109375,11.841151835024357,-18.72267211675644,0.0003,1.1537971496582031
671744,770.6,1573,426,82,407.57328998,2.9837629795074463,0.2,0.8292855024337769,-0.03557279590422695,810,0.01512304,0.170654296875,6.763920845836401,-18.753011310100554,0.0003,1.1567391157150269
679936,771.83,1586,428,83,409.82746640000005,0.9371178150177002,0.2,0.8567056059837341,-0.036172035468916876,820,0.018611724,0.2078369140625,5.018520744144917,-18.779362589120865,0.0003,1.1595851182937622
688128,776.72,1598,430,84,412.8291345500001,1.7750214338302612,0.2,0.8042020797729492,-0.03495504240418086,830,0.030590177,0.30546875,4.045648709312081,-18.8309987783432,0.0003,1.1660630702972412
696320,791.08,1611,432,85,422.0601412200001,0.9333064556121826,0.2,0.7258175611495972,-0.03481281254134956,840,0.026573522,0.27967529296875,3.6747112791985272,-18.90443153977394,0.0003,1.1720309257507324
704512,789.68,1624,433,86,424.3749741500001,1.2461318969726562,0.2,0.8329083323478699,-0.03874110561591806,850,0.028402053,0.30772705078125,3.069013234972954,-18.951254987716673,0.0003,1.176024079322815
712704,785.38,1637,435,87,424.0179356500001,1.6921306848526,0.2,0.852481484413147,-0.031355999378138225,860,0.014667781,0.17935791015625,5.680219975113869,-18.97784295082092,0.0003,1.1784509420394897
720896,731.86,1650,436,88,397.06040573999996,1.63228178024292,0.2,0.8930620551109314,-0.03617848585745378,870,0.017580979,0.2206787109375,5.239364904165268,-18.99795144200325,0.0003,1.180312156677246
729088,744.19,1663,438,89,404.50070225,5.851139545440674,0.2,0.8923938274383545,-0.033836345301824625,880,0.012670584,0.16494140625,10.874791238456964,-19.008433479070664,0.0003,1.1812125444412231
737280,761.2,1675,439,90,415.5457154899999,5.432736396789551,0.2,0.8733863830566406,-0.034339214378996986,890,0.014720313,0.18541259765625,10.246055153012275,-19.021894711256028,0.0003,1.1822575330734253
745472,741.2,1688,441,91,405.92584991,0.8675758242607117,0.2,0.7748250961303711,-0.037133994016767244,900,0.019986525,0.2321044921875,7.084584129601717,-19.040056443214418,0.0003,1.1835097074508667
753664,732.19,1701,442,92,401.95010225999994,7.090672969818115,0.2,0.8710846304893494,-0.03429994100370095,910,0.015854858,0.196240234375,10.589919584989548,-19.042746818065645,0.0003,1.1838277578353882
761856,737.3,1714,444,93,406.57150547,3.1072421073913574,0.2,0.8832100629806519,-0.03857495744014159,920,0.022211421,0.28585205078125,6.411079988628626,-19.059252965450288,0.0003,1.1869369745254517
770048,730.09,1727,445,94,404.47782288999997,1.1443212032318115,0.2,0.8941376805305481,-0.04001894382381579,930,0.038020156,0.378564453125,3.509841953963041,-19.115548902750014,0.0003,1.194193959236145
778240,734.75,1739,447,95,407.7005438099999,2.530519723892212,0.2,0.8477586507797241,-0.03427843577810563,940,0.016162401,0.19349365234375,8.896027383953333,-19.169403874874114,0.0003,1.1972371339797974
786432,753.62,1752,448,96,420.5092984,1.6002925634384155,0.2,0.8724960088729858,-0.03667459969365154,950,0.019900288,0.2255615234375,5.970619712769985,-19.18551985025406,0.0003,1.198867917060852
794624,785.37,1764,450,97,439.53480423,1.616113305091858,0.2,0.7694289088249207,-0.03347028485804913,960,0.032935772,0.33941650390625,5.682658881321549,-19.197210609912872,0.0003,1.1987251043319702
802816,817.2,1777,451,98,459.95887581000005,0.3695029020309448,0.2,0.7721629738807678,-0.0350756998093857,970,0.048335783,0.464599609375,2.0090448174625637,-19.212334084510804,0.0003,1.201087236404419
811008,809.73,1789,453,99,457.7873734600001,0.6450387239456177,0.2,0.8580945730209351,-0.03211986132300808,980,0.019582927,0.23558349609375,5.074532358720899,-19.244445949792862,0.0003,1.2049607038497925
819200,797.2,1803,454,100,452.66582829000015,3.2323532104492188,0.2,0.8869901299476624,-0.032424064296355935,990,0.0141036725,0.15418701171875,7.730217830836773,-19.253688257932662,0.0003,1.2043341398239136
827392,804.74,1815,455,101,459.2100785100001,3.2645437717437744,0.2,0.8969880938529968,-0.03150320340137114,1000,0.012920261,0.1488037109375,8.136786980181933,-19.270974904298782,0.0003,1.2082544565200806
835584,782.27,1828,456,102,447.82347555000007,1.7172834873199463,0.2,0.9197080135345459,-0.03830531285784673,1010,0.023657588,0.24986572265625,4.590381667390465,-19.29699862599373,0.0003,1.209172248840332
843776,794.06,1841,458,103,457.24966082000014,5.52028226852417,0.2,0.9008802771568298,-0.033007189122145064,1020,0.01302437,0.1684814453125,9.663914676755667,-19.29853982925415,0.0003,1.2096878290176392
851968,789.75,1854,459,104,456.6960687500001,3.7975521087646484,0.2,0.8740964531898499,-0.034241018062311925,1030,0.015753698,0.18377685546875,8.538641210645437,-19.302749109268188,0.0003,1.2094155550003052
860160,764.11,1866,460,105,442.4915047799999,4.706425189971924,0.2,0.8498196601867676,-0.0354902290062455,1040,0.015475634,0.17818603515625,10.096254541724921,-19.30155222415924,0.0003,1.2097631692886353
